"Cliente" "Línea Negocio" "Póliza" "Prima Cobrada" "Fecha Suscipción" "Vigencia Desde" "Vigencia Hasta" "Prima Devengada" "Siniestros Pagados" "Siniestros Incurridos" "% Siniestralidad" "Fecha" "asesor"
"341" "Anais Wehner PhD" "Patrimoniales" 401 239 2019-12-07 2019-12-17 2019-12-27 543 347 296 447.290892060846 2019-12-07 "Mrs. Sheri Rippin PhD"
"342" "Destinee Veum-Kozey" "Patrimoniales" 380 323 2019-12-08 2019-12-18 2019-12-28 156 139 517 87.3356545809656 2019-12-08 "Mr. Garth Raynor"
"343" "Chaney Brekke" "Auto" 351 81 2019-12-09 2019-12-19 2019-12-29 275 350 75 193.179092695937 2019-12-09 "Mrs. Sheri Rippin PhD"
"344" "Paulette Block-McClure" "Personas" 250 352 2019-12-10 2019-12-20 2019-12-30 575 263 433 157.856849581003 2019-12-10 "Luana Tillman"
"345" "Verlyn Crona" "Fianzas" 383 155 2019-12-11 2019-12-21 2019-12-31 118 514 394 48.3904345426708 2019-12-11 "Mrs. Domenica Kuphal"
"346" "Blake Ankunding" "Salud" 496 242 2019-12-12 2019-12-22 2020-01-01 146 519 76 365.351852076128 2019-12-12 "Betsy Sporer PhD"
"347" "Nicklaus Considine DVM" "Patrimoniales" 117 56 2019-12-13 2019-12-23 2020-01-02 476 197 305 128.84815922007 2019-12-13 "Helena Wiegand"
"348" "Leva Marquardt" "Auto" 529 256 2019-12-14 2019-12-24 2020-01-03 96 138 245 6.44983593374491 2019-12-14 "Mell Terry-Schowalter"
"349" "Zenobia Ortiz MD" "Auto" 42 430 2019-12-15 2019-12-25 2020-01-04 4 289 361 86.0083566047251 2019-12-15 "Miss Annis Ferry MD"
"350" "Raquel Ratke PhD" "Fianzas" 156 467 2019-12-16 2019-12-26 2020-01-05 231 570 185 453.585520153865 2019-12-16 "Luana Tillman"
"351" "Dr. Denzell McLaughlin PhD" "Auto" 16 224 2019-12-17 2019-12-27 2020-01-06 71 230 579 548.283414356411 2019-12-17 "Mell Terry-Schowalter"
"352" "Adalynn Schoen" "Salud" 456 299 2019-12-18 2019-12-28 2020-01-07 315 509 79 12.7450689207762 2019-12-18 "Betsy Sporer PhD"
"353" "Emery Gerhold" "Fianzas" 595 309 2019-12-19 2019-12-29 2020-01-08 254 73 476 433.730266615748 2019-12-19 "Lovie Kertzmann"
"354" "Dr. Kamilah Von DDS" "Salud" 159 504 2019-12-20 2019-12-30 2020-01-09 477 289 490 333.206244371831 2019-12-20 "Luana Tillman"
"355" "Vernie McKenzie DDS" "Auto" 141 583 2019-12-21 2019-12-31 2020-01-10 223 283 136 110.814797831699 2019-12-21 "Helena Wiegand"
"356" "Darell Torphy-Ratke" "Patrimoniales" 538 204 2019-12-22 2020-01-01 2020-01-11 412 265 82 461.534420913085 2019-12-22 "Mrs. Sheri Rippin PhD"
"357" "Dr. Ivan King" "Fianzas" 532 124 2019-12-23 2020-01-02 2020-01-12 236 536 384 305.846007540822 2019-12-23 "Helena Wiegand"
"358" "Enriqueta Conn" "Fianzas" 141 521 2019-12-24 2020-01-03 2020-01-13 357 385 301 96.5902383439243 2019-12-24 "Helena Wiegand"
"359" "Tennille Jast DDS" "Patrimoniales" 395 57 2019-12-25 2020-01-04 2020-01-14 355 99 472 26.2860765215009 2019-12-25 "Helena Wiegand"
"360" "Malvina Rosenbaum-Champlin" "Patrimoniales" 26 303 2019-12-26 2020-01-05 2020-01-15 95 481 468 578.247214760631 2019-12-26 "Mrs. Domenica Kuphal"
"361" "Shawanda Marks MD" "Fianzas" 511 491 2019-12-27 2020-01-06 2020-01-16 518 457 482 154.277116013691 2019-12-27 "Mell Terry-Schowalter"
"362" "Keyon Braun" "Patrimoniales" 327 62 2019-12-28 2020-01-07 2020-01-17 579 544 73 328.339186124504 2019-12-28 "Mell Terry-Schowalter"
"363" "Josie Zboncak" "Fianzas" 464 396 2019-12-29 2020-01-08 2020-01-18 85 539 35 26.9481724128127 2019-12-29 "Betsy Sporer PhD"
"364" "Verna Crona DVM" "Salud" 265 356 2019-12-30 2020-01-09 2020-01-19 303 24 73 364.825269486755 2019-12-30 "Helena Wiegand"
"365" "Cullen Conroy" "Salud" 586 283 2019-12-31 2020-01-10 2020-01-20 207 259 536 224.227849580348 2019-12-31 "Aurore Shields"
