"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Comisión" "Fecha Inicio Vigencia" "Fecha Fin Vigencia" "Fecha" "productor" "cuentas_esp"
"339" "Centro 4" "Patrimoniales" "Patrimoniales" "Kaia Wintheiser" 352 479 398 341 2019-12-15 2019-12-25 2019-12-05 "Productor 5" "Cuenta 4"
"340" "Centro 3" "Auto" "Auto" "Isobel Kris DDS" 316 50 89 523 2019-12-16 2019-12-26 2019-12-06 "Productor 4" "Cuenta 3"
"341" "Centro 2" "Personas" "Personas" "Dr. Guthrie Brekke" 362 58 89 581 2019-12-17 2019-12-27 2019-12-07 "Productor 2" "Cuenta 4"
"342" "Centro 5" "Personas" "Personas" "Isidore Emmerich" 219 452 237 468 2019-12-18 2019-12-28 2019-12-08 "Productor 1" "Cuenta 3"
"343" "Centro 4" "Personas" "Personas" "Dr. Deane Torphy DDS" 76 159 383 342 2019-12-19 2019-12-29 2019-12-09 "Productor 1" "Cuenta 1"
"344" "Centro 1" "Auto" "Auto" "Arnold Mills" 392 218 342 457 2019-12-20 2019-12-30 2019-12-10 "Productor 5" "Cuenta 2"
"345" "Centro 3" "Personas" "Personas" "Shaquana Kilback-Brakus" 54 359 301 39 2019-12-21 2019-12-31 2019-12-11 "Productor 3" "Cuenta 2"
"346" "Centro 4" "Auto" "Auto" "Dr. Oliver Kessler Jr." 117 468 87 208 2019-12-22 2020-01-01 2019-12-12 "Productor 5" "Cuenta 5"
"347" "Centro 4" "Salud" "Salud" "Gaither Leuschke" 299 220 19 253 2019-12-23 2020-01-02 2019-12-13 "Productor 2" "Cuenta 2"
"348" "Centro 1" "Auto" "Auto" "Dr. Leisha Conroy DVM" 342 473 595 39 2019-12-24 2020-01-03 2019-12-14 "Productor 2" "Cuenta 4"
"349" "Centro 4" "Patrimoniales" "Patrimoniales" "Dr. Kiyoshi Haag" 33 30 535 558 2019-12-25 2020-01-04 2019-12-15 "Productor 1" "Cuenta 2"
"350" "Centro 5" "Fianzas" "Fianzas" "Dr. Frieda Wintheiser DVM" 252 8 538 5 2019-12-26 2020-01-05 2019-12-16 "Productor 1" "Cuenta 1"
"351" "Centro 2" "Fianzas" "Fianzas" "Percival Simonis" 358 568 461 528 2019-12-27 2020-01-06 2019-12-17 "Productor 3" "Cuenta 3"
"352" "Centro 4" "Patrimoniales" "Patrimoniales" "Juliette Langworth-Fadel" 522 508 244 404 2019-12-28 2020-01-07 2019-12-18 "Productor 1" "Cuenta 5"
"353" "Centro 4" "Fianzas" "Fianzas" "Ardith Feeney" 177 415 39 117 2019-12-29 2020-01-08 2019-12-19 "Productor 4" "Cuenta 3"
"354" "Centro 1" "Fianzas" "Fianzas" "Maebelle Bruen" 143 429 216 116 2019-12-30 2020-01-09 2019-12-20 "Productor 4" "Cuenta 1"
"355" "Centro 2" "Personas" "Personas" "Dr. Khalid Von III" 552 516 136 298 2019-12-31 2020-01-10 2019-12-21 "Productor 3" "Cuenta 3"
"356" "Centro 3" "Fianzas" "Fianzas" "Cliffie Bauch PhD" 439 187 358 518 2020-01-01 2020-01-11 2019-12-22 "Productor 2" "Cuenta 2"
"357" "Centro 4" "Personas" "Personas" "Mrs. Kristin Bahringer MD" 180 264 358 396 2020-01-02 2020-01-12 2019-12-23 "Productor 4" "Cuenta 5"
"358" "Centro 2" "Personas" "Personas" "Wilson Schoen" 249 60 429 340 2020-01-03 2020-01-13 2019-12-24 "Productor 4" "Cuenta 5"
"359" "Centro 5" "Auto" "Auto" "Ms. Tamika Sawayn" 104 129 16 285 2020-01-04 2020-01-14 2019-12-25 "Productor 4" "Cuenta 4"
"360" "Centro 5" "Fianzas" "Fianzas" "Ruthie Hodkiewicz" 477 338 395 373 2020-01-05 2020-01-15 2019-12-26 "Productor 3" "Cuenta 4"
"361" "Centro 2" "Salud" "Salud" "Darby Emmerich PhD" 591 328 519 352 2020-01-06 2020-01-16 2019-12-27 "Productor 4" "Cuenta 5"
"362" "Centro 1" "Salud" "Salud" "Kaiden Murphy" 436 332 403 356 2020-01-07 2020-01-17 2019-12-28 "Productor 3" "Cuenta 3"
"363" "Centro 3" "Salud" "Salud" "Adrianne Harber" 496 163 217 51 2020-01-08 2020-01-18 2019-12-29 "Productor 3" "Cuenta 1"
"364" "Centro 2" "Auto" "Auto" "Frankie Will" 539 413 388 402 2020-01-09 2020-01-19 2019-12-30 "Productor 3" "Cuenta 3"
"365" "Centro 4" "Patrimoniales" "Patrimoniales" "Alannah Hagenes" 64 97 387 387 2020-01-10 2020-01-20 2019-12-31 "Productor 1" "Cuenta 2"
