"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Siniestros Pagados" "Siniestros Pendientes" "Siniestros Incurridos" "Recuperaciones" "Comisiones e Incentivos Pagados" "Gastos Directos del Ramo" "Resultado Técnico Antes de Gasto" "Siniestralidad" "Fecha" "productor" "cuentas_esp"
"338" "Centro 1" "Fianzas" "Fianzas" "Ayesha Bartoletti" 281 568 234 499 294 154 439 311 157 525 480 2019-12-04 "Productor 1" "Cuenta 1"
"339" "Centro 5" "Auto" "Auto" "Tyreese Baumbach" 423 587 484 100 463 466 299 589 583 79 513 2019-12-05 "Productor 3" "Cuenta 3"
"340" "Centro 5" "Fianzas" "Fianzas" "Mr. Enzo Spinka Jr." 562 82 583 288 402 158 158 71 268 591 411 2019-12-06 "Productor 1" "Cuenta 1"
"341" "Centro 3" "Auto" "Auto" "Brodie Corwin" 48 169 501 306 7 168 425 375 280 336 178 2019-12-07 "Productor 4" "Cuenta 2"
"342" "Centro 5" "Fianzas" "Fianzas" "Maxine Hegmann" 477 126 293 148 111 92 342 193 431 149 295 2019-12-08 "Productor 3" "Cuenta 3"
"343" "Centro 2" "Salud" "Salud" "Kurt Rau" 407 598 142 549 226 450 566 444 233 568 230 2019-12-09 "Productor 4" "Cuenta 1"
"344" "Centro 1" "Salud" "Salud" "Victoria Satterfield" 587 26 250 76 460 51 459 330 102 463 5 2019-12-10 "Productor 1" "Cuenta 1"
"345" "Centro 3" "Auto" "Auto" "Nicklaus Braun" 137 355 503 247 265 260 561 178 127 512 243 2019-12-11 "Productor 3" "Cuenta 3"
"346" "Centro 5" "Fianzas" "Fianzas" "Dakota Heidenreich-Volkman" 130 80 528 462 322 207 395 208 111 427 118 2019-12-12 "Productor 3" "Cuenta 5"
"347" "Centro 2" "Auto" "Auto" "Leota Murray" 343 433 56 523 72 445 409 545 21 131 374 2019-12-13 "Productor 2" "Cuenta 4"
"348" "Centro 2" "Salud" "Salud" "Ceylon Willms-Kertzmann" 525 382 371 465 575 510 351 501 534 582 453 2019-12-14 "Productor 4" "Cuenta 5"
"349" "Centro 1" "Salud" "Salud" "Jocelyne Padberg" 161 296 497 252 113 335 478 133 90 275 566 2019-12-15 "Productor 1" "Cuenta 4"
"350" "Centro 3" "Fianzas" "Fianzas" "Miss Lesa Legros DVM" 49 358 246 389 397 487 520 566 438 372 77 2019-12-16 "Productor 1" "Cuenta 4"
"351" "Centro 2" "Personas" "Personas" "Camryn Wolff" 378 561 571 415 284 150 590 362 36 346 109 2019-12-17 "Productor 3" "Cuenta 2"
"352" "Centro 3" "Salud" "Salud" "Shona Kshlerin" 149 459 429 442 58 475 120 218 509 322 178 2019-12-18 "Productor 2" "Cuenta 3"
"353" "Centro 3" "Salud" "Salud" "Yandel Grant" 382 360 348 320 5 166 388 160 113 429 403 2019-12-19 "Productor 5" "Cuenta 1"
"354" "Centro 5" "Salud" "Salud" "Donell Goldner" 121 460 539 17 600 385 464 274 259 140 183 2019-12-20 "Productor 2" "Cuenta 1"
"355" "Centro 5" "Salud" "Salud" "Brinley Kreiger" 104 547 379 52 300 83 398 512 255 298 261 2019-12-21 "Productor 2" "Cuenta 5"
"356" "Centro 2" "Personas" "Personas" "Luvinia Bergnaum-Jast" 493 330 290 2 597 38 558 447 314 515 57 2019-12-22 "Productor 3" "Cuenta 3"
"357" "Centro 2" "Salud" "Salud" "Wanita Leannon PhD" 338 176 287 399 551 77 383 469 401 587 277 2019-12-23 "Productor 2" "Cuenta 1"
"358" "Centro 5" "Auto" "Auto" "Pearlie Sauer" 585 234 286 328 346 591 453 69 110 252 396 2019-12-24 "Productor 5" "Cuenta 2"
"359" "Centro 5" "Fianzas" "Fianzas" "Sara Runolfsson" 271 6 28 124 352 293 537 414 293 359 569 2019-12-25 "Productor 1" "Cuenta 2"
"360" "Centro 4" "Personas" "Personas" "Ayesha Kemmer" 590 236 484 332 98 227 404 304 8 361 172 2019-12-26 "Productor 5" "Cuenta 5"
"361" "Centro 3" "Personas" "Personas" "Lum Wisozk" 238 567 269 361 167 506 9 276 438 491 413 2019-12-27 "Productor 3" "Cuenta 5"
"362" "Centro 1" "Patrimoniales" "Patrimoniales" "Mr. Conway Will MD" 206 439 377 449 490 177 219 112 264 452 594 2019-12-28 "Productor 4" "Cuenta 5"
"363" "Centro 5" "Salud" "Salud" "Oleta O'Conner-Satterfield" 578 396 391 498 460 247 417 342 468 339 377 2019-12-29 "Productor 1" "Cuenta 5"
"364" "Centro 4" "Patrimoniales" "Patrimoniales" "Mr. Essex Frami" 496 228 69 46 190 56 191 103 484 74 592 2019-12-30 "Productor 5" "Cuenta 1"
"365" "Centro 3" "Fianzas" "Fianzas" "Yoel Williamson" 474 482 438 411 521 133 328 45 125 424 71 2019-12-31 "Productor 5" "Cuenta 3"
